Name;Acronym;State Acronym;Institution Type;Level_1;Level_2;Level_3
Área1 - Faculdade de Ciência e Tecnologia;AREA1;BA;SCHOLARLY;;;
Centro de Educação Superior - Única;UNICA;SC;SCHOLARLY;;;
Centro de Educação Superior de Blumenau;CESBLU;SC;SCHOLARLY;;;
Centro de Ensino Superior Cenecista de Farroupilha;CESF;RS;SCHOLARLY;;;
Centro de Ensino Superior de Arcoverde;CESA;PE;SCHOLARLY;;;
Centro de Ensino Superior de Catalão;CESUC;GO;SCHOLARLY;;;
Centro de Ensino Superior de Ilhéus;CESUPI;BA;SCHOLARLY;;;
Centro de Ensino Superior de Jataí;CESUT;GO;SCHOLARLY;;;
Centro de Ensino Superior de Juiz de Fora;CES/JF;MG;SCHOLARLY;;;
Centro de Ensino Superior de Uberaba;CESUBE;MG;SCHOLARLY;;;
Centro de Ensino Superior de Valença;CESVA;RJ;SCHOLARLY;;;
Centro de Ensino Superior de Vitória;CESV;ES;SCHOLARLY;;;
Centro de Ensino Superior do Amapá;CEAP;AP;SCHOLARLY;;;
Centro de Ensino Superior do Vale do Parnaíba;CESVALE;PI;SCHOLARLY;;;
Centro de Ensino Superior do Vale São Francisco;CESVASF;PE;SCHOLARLY;;;
Centro de Estudos Superiores Aprendiz;CESA;MG;SCHOLARLY;;;
Centro de Estudos Superiores de Maceió;CESMAC;AL;SCHOLARLY;;;
Centro de Tecnologia e Ciência - Cetec;ETEP;SP;SCHOLARLY;;;
Centro Regional de Estudos em Ciências Humanas;CRECIH;MG;SCHOLARLY;;;
Centro Superior de Ensino e Pesquisa de Machado;CESEP;MG;SCHOLARLY;;;
Centro Técnico-Educacional Superior do Oeste Paranaense;CTESOP;PR;SCHOLARLY;;;
Conservatório de Música de Niterói;CMN;RJ;SCHOLARLY;;;
Conservatório Dramático Musical São Paulo;CDMSP;SP;SCHOLARLY;;;
Escola Agrotécnica Federal de Alegrete;EAFA;RS;SCHOLARLY;;;
Escola Bahiana de Administração;EBA;BA;SCHOLARLY;;;
Escola Bahiana de Medicina e Saúde Pública;EBMSP;BA;SCHOLARLY;;;
Escola Brasileira de Administração Pública e de Empresas;EBAPE;RJ;SCHOLARLY;;;
Escola Brasileira de Economia e Finanças;EBEF;RJ;SCHOLARLY;;;
ESCOLA DA CIDADE - Faculdade de Arquitetura e Urbanismo;Escola da Cidade;SP;SCHOLARLY;;;
Escola de Administração de Empresas de São Paulo;FGV-EAESP;SP;SCHOLARLY;;;
Escola de Direito de São Paulo;EDESP;SP;SCHOLARLY;;;
Escola de Direito do Rio de Janeiro;DIREITO RIO;RJ;SCHOLARLY;;;
Escola de Economia de São Paulo;EESP;SP;SCHOLARLY;;;
Escola de Educação Física de Assis;EEFA;SP;SCHOLARLY;;;
Escola de Enfermagem da Fundação Técnico Educacional Souza Marques;EEFTESM;RJ;SCHOLARLY;;;
Escola de Enfermagem Wenceslau Braz;EEWB;MG;SCHOLARLY;;;
Escola de Engenharia de Piracicaba;EEP;SP;SCHOLARLY;;;
Escola de Engenharia Kennedy;EEK;MG;SCHOLARLY;;;
Escola de Ensino Superior Alternativo;CESA;ES;SCHOLARLY;;;
Escola de Estudos Superiores de Viçosa;ESUV;MG;SCHOLARLY;;;
Escola de Governo Professor Paulo Neves de Carvalho;EG;MG;SCHOLARLY;;;
Escola de Medicina Souza Marques da Fundação Técnico-Educacional Souza Marques;EMSM;RJ;SCHOLARLY;;;
Escola de Música e Belas Artes do Paraná;EMBAP;PR;SCHOLARLY;;;
Escola de Negócios do Estado da Bahia - Eneb;ENEB;BA;SCHOLARLY;;;
Escola de Sociologia e Política de São Paulo;ESP;SP;SCHOLARLY;;;
Escola Superior Batista do Amazonas;ESBAM;AM;SCHOLARLY;;;
Escola Superior da Amazônia;ESAMAZ;PA;SCHOLARLY;;;
Escola Superior de Administração de Empresas;INEA;SP;SCHOLARLY;;;
Escola Superior de Administração e Gestão;ESAGS;SP;SCHOLARLY;;;
